mid,genre
tt0081,Drama
tt0081,Horror
tt4154,Action
tt4154,Adventure
tt4154,Sci-Fi
tt0050,Drama
tt0050,War
tt0090,Action
tt0090,Adventure
tt0090,Sci-Fi
tt0090,Thriller
tt0043,Drama
tt0043,Film-Noir
tt0032,Comedy
tt0032,Drama
tt0032,War
tt1853,Drama
tt1853,Western
tt0082,Action
tt0082,Adventure
tt0910,Animation
tt0910,Adventure
tt0910,Family
tt0910,Sci-Fi
tt0405,Drama
tt0405,Mystery
tt0405,Thriller
tt0078,Drama
tt0078,Mystery
tt0078,War
tt0095,Drama
tt0095,Romance
tt0051,Crime
tt0051,Drama
tt0051,Mystery
tt0051,Thriller
tt0209,Mystery
tt0209,Thriller
tt1454,Drama
tt0246,Drama
tt0246,Mystery
tt0246,Sci-Fi
tt0246,Thriller
tt4016,Drama
tt4016,Romance
tt4016,Thriller
tt0021,Comedy
tt0021,Drama
tt0021,Romance
tt0101,Animation
tt0101,Family
tt0101,Fantasy
tt0101,Musical
tt0101,Romance
tt1509,Crime
tt1509,Drama
tt1509,Mystery
tt0025,Comedy
tt0025,Romance
tt0047,Mystery
tt0047,Thriller
tt0103,Animation
tt0103,Adventure
tt0103,Comedy
tt0103,Family
tt0103,Fantasy
tt0103,Musical
tt0103,Romance
tt0060,Drama
tt0060,Thriller
tt0053,Crime
tt0053,Drama
tt0083,Biography
tt0083,Drama
tt0325,Action
tt0325,Adventure
tt0325,Fantasy
tt0079,Comedy
tt0058,Drama
tt0058,War
tt0113,Crime
tt0113,Drama
tt0245,Drama
tt0245,Thriller
tt0035,Comedy
tt0035,Romance
tt0035,War
tt0061,Crime
tt0061,Drama
tt0032,Drama
tt0059,Biography
tt0059,Drama
tt0059,Family
tt0059,Musical
tt0059,Romance
tt0476,Drama
tt0476,Family
tt1160,Action
tt1160,Adventure
tt1160,Drama
tt1160,Sci-Fi
tt0381,Drama
tt0381,Romance
tt0036,Drama
tt0036,Romance
tt0036,War
tt0032,Drama
tt0032,Film-Noir
tt0032,Mystery
tt0032,Romance
tt0032,Thriller
tt0317,Animation
tt0317,Action
tt0317,Adventure
tt0317,Family
tt0382,Animation
tt0382,Adventure
tt0382,Comedy
tt0382,Family
tt0382,Fantasy
tt1028,Biography
tt1028,Drama
tt1028,Family
tt0070,Horror
tt0107,Comedy
tt0107,Drama
tt0107,Fantasy
tt0107,Romance
tt0074,Drama
tt1895,Biography
tt1895,Crime
tt1895,Drama
tt3315,Action
tt3315,Drama
tt3315,Sci-Fi
tt3315,Thriller
tt0032,Adventure
tt0032,Family
tt0032,Fantasy
tt0032,Musical
tt0092,Adventure
tt0092,Drama
tt0758,Adventure
tt0758,Biography
tt0758,Drama
tt1950,Action
tt1950,Biography
tt1950,Drama
tt1950,Sport
tt1979,Action
tt1979,Biography
tt1979,Drama
tt1979,Sport
tt0088,Action
tt0088,Sci-Fi
tt0046,Drama
tt0097,Comedy
tt0097,Drama
tt0091,Drama
tt0091,War
tt0075,Drama
tt0075,Sport
tt0395,Biography
tt0395,Drama
tt0395,History
tt0395,War
tt0071,Adventure
tt0071,Biography
tt0071,Drama
tt0978,Animation
tt0978,Comedy
tt0978,Drama
tt0978,Family
tt0198,Animation
tt0198,Adventure
tt0198,Comedy
tt0198,Family
tt0198,Fantasy
tt3011,Comedy
tt3011,Drama
tt3011,Thriller
tt0073,Adventure
tt0073,Thriller
tt4729,Animation
tt4729,Adventure
tt4729,Comedy
tt4729,Family
tt0118,Comedy
tt0118,Crime
tt1392,Action
tt1392,Adventure
tt1392,Sci-Fi
tt1392,Thriller
tt0050,Drama
tt0050,Fantasy
tt0050,History
tt0072,Adventure
tt0072,Drama
tt0072,History
tt0072,War
tt2119,Biography
tt2119,Drama
tt2119,History
tt2119,War
tt0353,Crime
tt0353,Drama
tt0353,Mystery
tt0353,Thriller
tt3170,Drama
tt3170,Thriller
tt0046,Adventure
tt0046,Drama
tt0046,Thriller
tt0015,Action
tt0015,Comedy
tt0015,Romance
tt0107,Biography
tt0107,Crime
tt0107,Drama
tt0019,Biography
tt0019,Drama
tt0019,History
tt0112,Drama
tt0112,Romance
tt0077,Drama
tt0077,War
tt0892,Animation
tt0892,Action
tt0892,Adventure
tt0892,Comedy
tt0892,Family
tt0892,Fantasy
tt0048,Drama
tt0050,Drama
tt0050,Romance
tt2278,Adventure
tt2278,Comedy
tt2278,Crime
tt0031,Comedy
tt0031,Drama
tt2024,Biography
tt2024,Drama
tt2024,History
tt0052,Adventure
tt0052,Drama
tt0052,History
tt2267,Drama
tt2267,Mystery
tt2267,Thriller
tt0041,Film-Noir
tt0041,Mystery
tt0041,Thriller
tt0017,Action
tt0017,Adventure
tt0017,Comedy
tt0017,Drama
tt0017,War
tt1201,Adventure
tt1201,Fantasy
tt1201,Mystery
tt0118,Drama
tt0118,Family
tt0118,Sport
tt0047,Crime
tt0047,Drama
tt0047,Thriller
tt0083,Action
tt0083,Drama
tt0083,Sci-Fi
tt0083,Thriller
tt1205,Drama
tt1392,Crime
tt1392,Drama
tt1392,Mystery
tt1392,Thriller
tt0096,Animation
tt0096,Comedy
tt0096,Family
tt0096,Fantasy
tt0116,Crime
tt0116,Thriller
tt0015,Adventure
tt0015,Comedy
tt0015,Drama
tt0015,Western
tt1291,Action
tt1291,Drama
tt1291,Sport
tt0405,Drama
tt0405,Sport
tt0050,Adventure
tt0050,Drama
tt0050,War
tt0084,Horror
tt0084,Mystery
tt0084,Sci-Fi
tt0347,Animation
tt0347,Adventure
tt0347,Family
tt0347,Fantasy
tt1305,Drama
tt1305,Mystery
tt1305,Romance
tt1305,Thriller
tt0117,Drama
tt5027,Comedy
tt5027,Crime
tt5027,Drama
tt0046,Crime
tt0046,Thriller
tt0031,Drama
tt0031,History
tt0031,Romance
tt0031,War
tt0434,Action
tt0434,Drama
tt0434,Sci-Fi
tt0434,Thriller
tt0264,Biography
tt0264,Crime
tt0264,Drama
tt0081,Biography
tt0081,Drama
tt0081,Sport
tt0120,Action
tt0120,Comedy
tt0120,Crime
tt2096,Animation
tt2096,Adventure
tt2096,Comedy
tt2096,Drama
tt2096,Family
tt2096,Fantasy
tt0071,Drama
tt0071,Mystery
tt0071,Thriller
tt0080,Biography
tt0080,Drama
tt0266,Animation
tt0266,Adventure
tt0266,Comedy
tt0266,Family
tt0266,Action
tt0266,Crime
tt0266,Drama
tt0266,Thriller
tt0477,Crime
tt0477,Drama
tt0477,Thriller
tt0107,Action
tt0107,Adventure
tt0107,Sci-Fi
tt0107,Thriller
tt0042,Crime
tt0042,Drama
tt0042,Mystery
tt1130,Mystery
tt1130,Thriller
tt0055,Action
tt0055,Drama
tt0055,Thriller
tt0057,Adventure
tt0057,Drama
tt0057,History
tt0057,Thriller
tt0057,War
tt0469,Drama
tt0071,Adventure
tt0071,Comedy
tt0071,Fantasy
tt0120,Comedy
tt0120,Drama
tt0167,Drama
tt0167,Mystery
tt0167,Thriller
tt0268,Biography
tt0268,Drama
tt0089,Action
tt0089,Drama
tt0089,War
tt0112,Crime
tt0112,Drama
tt0105,Drama
tt0105,Western
tt0040,Adventure
tt0040,Drama
tt0040,Western
tt0457,Drama
tt0457,Fantasy
tt0457,War
tt6966,Biography
tt6966,Comedy
tt6966,Drama
tt6966,Music
tt0993,Biography
tt0993,Comedy
tt0993,Crime
tt0993,Drama
tt0055,Drama
tt0055,War
tt0042,Drama
tt0053,Comedy
tt0053,Music
tt0053,Romance
tt0363,Biography
tt0363,Drama
tt0363,History
tt0363,War
tt1027,Drama
tt1027,Mystery
tt5074,Action
tt5074,Biography
tt5074,Drama
tt5074,Sport
tt0012,Comedy
tt0012,Drama
tt0012,Family
tt8579,Action
tt8579,Drama
tt8579,War
tt1255,Drama
tt1255,Mystery
tt1255,War
tt0040,Drama
tt0372,Action
tt0372,Crime
tt0372,Drama
tt0095,Action
tt0095,Thriller
tt0059,Western
tt0097,Action
tt0097,Adventure
tt0017,Drama
tt0017,Sci-Fi
tt1832,Drama
tt0113,Action
tt0113,Crime
tt0113,Drama
tt1049,Animation
tt1049,Adventure
tt1049,Comedy
tt1049,Drama
tt1049,Family
tt0070,Comedy
tt0070,Crime
tt0070,Drama
tt0119,Crime
tt0119,Drama
tt0119,Mystery
tt0119,Thriller
tt0044,Drama
tt0986,Drama
tt0986,Family
tt0208,Comedy
tt0208,Crime
tt0053,Comedy
tt0053,Drama
tt0053,Romance
tt0086,Crime
tt0086,Drama
tt0075,Crime
tt0075,Drama
tt0093,Drama
tt0093,War
tt0091,Drama
tt0091,Thriller
tt0091,War
tt0036,Crime
tt0036,Drama
tt0036,Film-Noir
tt0036,Mystery
tt0036,Thriller
tt0056,Crime
tt0056,Drama
tt8503,Biography
tt8503,Drama
tt8503,History
tt8503,Musical
tt0066,Crime
tt0066,Sci-Fi
tt0211,Comedy
tt0211,Romance
tt2106,Drama
tt0052,Mystery
tt0052,Romance
tt0052,Thriller
tt8267,Drama
tt0022,Crime
tt0022,Mystery
tt0022,Thriller
tt0053,Adventure
tt0053,Mystery
tt0053,Thriller
tt0057,Crime
tt0057,Drama
tt0057,Mystery
tt0057,Thriller
tt0062,Adventure
tt0062,Sci-Fi
tt0338,Drama
tt0338,Romance
tt0338,Sci-Fi
tt0105,Crime
tt0105,Drama
tt0105,Thriller
tt0056,Adventure
tt0056,Biography
tt0056,Drama
tt0056,War
tt5311,Animation
tt5311,Drama
tt5311,Fantasy
tt5311,Romance
tt0180,Drama
tt0045,Comedy
tt0045,Musical
tt0045,Romance
tt1187,Comedy
tt1187,Drama
tt0033,Drama
tt0033,Mystery
tt0087,Crime
tt0087,Drama
tt0435,Animation
tt0435,Adventure
tt0435,Comedy
tt0435,Family
tt0435,Fantasy
tt4154,Action
tt4154,Adventure
tt4154,Drama
tt4154,Sci-Fi
tt0119,Drama
tt0119,Romance
tt0361,Adventure
tt0361,Drama
tt0361,War
tt2380,Animation
tt2380,Adventure
tt2380,Comedy
tt2380,Family
tt2380,Fantasy
tt2380,Music
tt2380,Mystery
tt0119,Animation
tt0119,Action
tt0119,Adventure
tt0119,Fantasy
tt0082,Drama
tt0082,War
tt0364,Action
tt0364,Drama
tt0364,Mystery
tt0364,Thriller
tt0114,Animation
tt0114,Adventure
tt0114,Comedy
tt0114,Family
tt0114,Fantasy
tt4633,Animation
tt4633,Action
tt4633,Adventure
tt4633,Comedy
tt4633,Family
tt4633,Fantasy
tt4633,Sci-Fi
tt0112,Biography
tt0112,Drama
tt0112,History
tt0112,War
tt0086,Biography
tt0086,Drama
tt0086,Music
tt1345,Action
tt1345,Crime
tt1345,Drama
tt0057,Comedy
tt0057,War
tt7286,Crime
tt7286,Drama
tt7286,Thriller
tt0078,Horror
tt0078,Sci-Fi
tt0169,Drama
tt0095,Animation
tt0095,Drama
tt0095,War
tt0056,Action
tt0056,Drama
tt0056,Mystery
tt0034,Drama
tt0034,Romance
tt0034,War
tt0482,Drama
tt0482,Mystery
tt0482,Thriller
tt0086,Action
tt0086,Adventure
tt0086,Fantasy
tt0086,Sci-Fi
tt1675,Biography
tt1675,Comedy
tt1675,Drama
tt0114,Crime
tt0114,Drama
tt0114,Mystery
tt0114,Thriller
tt1087,Action
tt1087,Adventure
tt1087,Fantasy
tt1087,Sci-Fi
tt0407,Crime
tt0407,Drama
tt0407,Thriller
tt2582,Drama
tt2582,Music
tt0120,Drama
tt0172,Action
tt0172,Adventure
tt0172,Drama
tt0110,Animation
tt0110,Adventure
tt0110,Drama
tt0110,Family
tt0110,Musical
tt0064,Western
tt6751,Comedy
tt6751,Drama
tt6751,Thriller
tt0253,Biography
tt0253,Drama
tt0253,Music
tt0253,War
tt0027,Comedy
tt0027,Drama
tt0027,Romance
tt0054,Horror
tt0054,Mystery
tt0054,Thriller
tt0110,Action
tt0110,Crime
tt0110,Drama
tt0110,Thriller
tt0088,Adventure
tt0088,Comedy
tt0088,Sci-Fi
tt0816,Adventure
tt0816,Drama
tt0816,Sci-Fi
tt0076,Action
tt0076,Adventure
tt0076,Fantasy
tt0076,Sci-Fi
tt0120,Crime
tt0120,Drama
tt0120,Fantasy
tt0120,Mystery
tt0103,Action
tt0103,Sci-Fi
tt0245,Animation
tt0245,Adventure
tt0245,Family
tt0245,Fantasy
tt0245,Mystery
tt0118,Comedy
tt0118,Drama
tt0118,Romance
tt0118,War
tt0317,Crime
tt0317,Drama
tt0120,Drama
tt0120,War
tt0038,Comedy
tt0038,Drama
tt0038,Family
tt0038,Fantasy
tt0102,Crime
tt0102,Drama
tt0102,Thriller
tt0047,Action
tt0047,Drama
tt0099,Biography
tt0099,Crime
tt0099,Drama
tt0073,Drama
tt0114,Crime
tt0114,Drama
tt0114,Mystery
tt0114,Thriller
tt0133,Action
tt0133,Sci-Fi
tt0080,Action
tt0080,Adventure
tt0080,Fantasy
tt0080,Sci-Fi
tt0167,Action
tt0167,Adventure
tt0167,Drama
tt0167,Fantasy
tt1375,Action
tt1375,Adventure
tt1375,Sci-Fi
tt1375,Thriller
tt0137,Drama
tt0120,Action
tt0120,Adventure
tt0120,Drama
tt0120,Fantasy
tt0109,Drama
tt0109,Romance
tt0110,Crime
tt0110,Drama
tt0060,Adventure
tt0060,Western
tt0108,Biography
tt0108,Drama
tt0108,History
tt0468,Action
tt0468,Crime
tt0468,Drama
tt0468,Thriller
tt0071,Crime
tt0071,Drama
tt0050,Crime
tt0050,Drama
tt0068,Crime
tt0068,Drama
tt0111,Drama
tt0167,Action
tt0167,Adventure
tt0167,Drama
tt0167,Fantasy
